question,answer
How do I apply for admission?,"To apply for admission, visit the UMKC Conservatory's application portal and follow the instructions. You can find detailed information on the Conservatory's website."
What is the deadline for applications?,The application deadline varies by program. Check the specific program's deadline on the Conservatory's website.
How do I submit transcripts?,"Transcripts can be sent to the specified address, and for international applicants, PDFs can be uploaded to the application. Ensure transcripts are not sent directly to the Conservatory."
Can I apply after the deadline?,Contact Conservatory Admissions for information on late applications; exceptions may be possible.
Can I start in the spring semester?,"Most programs do not admit new students in the spring, but exceptions can be made. Contact Conservatory Admissions for more details."
Can I apply to multiple programs?,You may apply to up to two degree programs. Limit choices to programs where success is likely.
What should I prepare for my audition?,Suggested audition repertoire is provided for both recorded and live virtual auditions.
Can I audition on multiple instruments?,List the instrument(s) in which you are most proficient. Auditioning in more than one area is allowed but not common.
How do I apply for the summer master’s of Music Education program?,"The application process is the same as for the full-time master's program. An audition is not required, but an interview with Music Education faculty is mandatory."
What are the eligibility requirements?,Completion of an undergraduate degree in music education with a minimum 3.0 GPA is required.
Are GRE or GMAT scores required?,GRE or GMAT scores are not required for graduate applications.
How do I pay my enrollment deposit or confirmation fee?,Incoming undergraduate students can pay the confirmation fee online. Incoming graduate students can pay the Graduate Enrollment Deposit online.
What scholarships do you offer?,Conservatory scholarships are offered based on application and audition. They vary in size and number each year.
Are scholarships renewable?,Scholarships are renewable yearly for students maintaining a GPA of at least 3.0 and making satisfactory progress on their degree map.
How do I enroll for classes after admission?,Undergraduate students can enroll after orientation. Graduate students receive information about orientation from the graduate advisor.
Are students required to live on campus?,"Living on campus is not required, but residence halls are available for those interested."
Can non-Conservatory students take Conservatory classes?,The Conservatory offers some courses for all UMKC students. Contact Conservatory Admissions for details.
Can non-Conservatory students join ensembles?,"Non-Conservatory students are welcome to audition for Bands, Choirs, Orchestra, or Jazz Ensembles. Requirements and director contact info can be found on the ensemble audition site."
How will unit reorganization impact degree programs?,Units will determine degree requirements. UMKC Essentials remains the general education program.
How long will the transition take?,"Planning will begin in the summer, and the transition is expected to take about a year. The goal is to launch new units in AY22-23."
Who will lead the reorganization?,"The Provost’s Office will oversee the process, with implementation committees made up of faculty and staff."
